Model,Accuracy,Balanced Accuracy,ROC AUC,F1 Score,Time Taken,A/time
XGBClassifier,0.9775,0.9767047919981309,0.9767047919981309,0.9774729574656207,0.24960637092590332,3.9161660672923087
LGBMClassifier,0.9766666666666667,0.9759009334772305,0.9759009334772305,0.9766401370326195,0.0710759162902832,13.741175881262425
DecisionTreeClassifier,0.9766666666666667,0.9759009334772305,0.9759009334772305,0.9766401370326195,0.016125917434692383,60.56502959425561
BaggingClassifier,0.9766666666666667,0.9759009334772305,0.9759009334772305,0.9766401370326195,0.032172203063964844,30.357469294995308
ExtraTreesClassifier,0.9766666666666667,0.9758397400950166,0.9758397400950167,0.9766370752328525,0.13277053833007812,7.356049609730403
RandomForestClassifier,0.9758333333333333,0.9750358815741162,0.9750358815741164,0.9758042876482593,0.2008218765258789,4.859198361327843
AdaBoostClassifier,0.9758333333333333,0.9750358815741162,0.9750358815741164,0.9758042876482593,0.11357903480529785,8.59166777571362
ExtraTreeClassifier,0.975,0.974232023053216,0.9742320230532159,0.9749715753920924,0.013836383819580078,70.46638866871145
KNeighborsClassifier,0.975,0.9741096362887882,0.9741096362887883,0.9749648735447609,0.04601788520812988,21.187414319242745
QuadraticDiscriminantAnalysis,0.9516666666666667,0.9502553432948742,0.9502553432948742,0.9515360010128543,0.014940977096557617,63.69507566449115
SGDClassifier,0.9275,0.9248628711934934,0.9248628711934934,0.9269632782745066,0.04058957099914551,22.85069728920086
LabelPropagation,0.9258333333333333,0.9230715740050512,0.9230715740050514,0.9252392552261127,0.24705028533935547,3.7475501477829973
SVC,0.925,0.922267715484151,0.9222677154841509,0.9244107933384865,0.12634038925170898,7.321490819195713
LabelSpreading,0.9241666666666667,0.9213414701988228,0.921341470198823,0.92353555352287,0.36338233947753906,2.543234951911553
PassiveAggressiveClassifier,0.9216666666666666,0.9188075078716942,0.9188075078716942,0.9210023412308855,0.017624378204345703,52.29498913268941
LogisticRegression,0.9216666666666666,0.9188075078716942,0.9188075078716942,0.9210023412308855,0.04102635383605957,22.4652346720751
CalibratedClassifierCV,0.9208333333333333,0.91794245596858,0.9179424559685799,0.9201492852244553,0.23276042938232422,3.9561420975934203
LinearSVC,0.92,0.9170774040654658,0.9170774040654657,0.9192958444014229,0.13761162757873535,6.685481570033872
BernoulliNB,0.9191666666666667,0.9162735455445654,0.9162735455445654,0.9184682175449704,0.011792659759521484,77.94396560322403
GaussianNB,0.9191666666666667,0.9162123521623516,0.9162123521623516,0.9184420149386926,0.01258540153503418,73.03435366030779
NuSVC,0.7933333333333333,0.7855895147921095,0.7855895147921093,0.7826315789473685,0.20343899726867676,3.8996128765105835
RidgeClassifier,0.7891666666666667,0.7812030618943246,0.7812030618943245,0.7776282759597676,0.02347850799560547,33.612300526693474
RidgeClassifierCV,0.7891666666666667,0.7812030618943246,0.7812030618943245,0.7776282759597676,0.03840041160583496,20.550994993677424
LinearDiscriminantAnalysis,0.7891666666666667,0.7812030618943246,0.7812030618943245,0.7776282759597676,0.037567853927612305,21.00643460196779
NearestCentroid,0.7308333333333333,0.7207106220585454,0.7207106220585454,0.7070082653598638,0.014905929565429688,49.029705267647685
Perceptron,0.6166666666666667,0.6301638870036382,0.6301638870036382,0.5593717188342462,0.012263059616088867,50.28652603609734
DummyClassifier,0.49083333333333334,0.4907903959768133,0.49079039597681323,0.4910041790815283,0.013963699340820312,35.150666120293224
